Date,Province,Test Total Tests Conducted till date,Rapid Total Tests Conducted till date,Grand Total Tests Conducted till date,PCases Cumulative,Test Positivity Ratio,Acases Cumulative,Grand Total Cases in Last 24 hours,Grand Total Cases till date,Death Cumulative / Total Deaths,Died in Hospital On Ventilator,Died in Hospital Off Ventilator,,Fetaility Ratio,Ventilator Fetality Ratio,Clinic Total No. Of Beds Allocated for COVID Patients,Clinic Total No. of Beds with Oxygen Facility allocated for COVID Patients,Clinic Total No. Of Ventilators allocated for COVID Patients,Clinic Patients Admitted in last 24 Hours,Clinic Total No. Of COVID Patients currently Admitted,Clinic Total No of Patients Clinically Stable,Clinic On Low Flow Oxygen,Clinic On High Flow Oxygen,Clinic Total (on Oxygen),Clinic Total No. of Patients currently on Ventilator,Clinic Total No of Patients in Quarantine at Home or Elsewhere,Clinic Total Numbers Recovered and Discharged so far,DEATH_TOTAL_COL,Healtcare Stress Index,Oxygen Dependency Ratio,Recovery Velocity
29-Mar-20,AJK,105,,105,6,5.71,,4,6,,,0,,0,0,210,,,,6,6,,,,0,0,0,0,2.86,0,0
29-Mar-20,Balochistan,"1,662",,"1,662",144,8.66,,6,144,,,0,,0,0,791,,,,133,133,,,,0,8,2,1,16.81,0,0.25
29-Mar-20,Gilgit Baltistan,481,,481,128,26.61,,12,128,,,0,,0,0,151,,,,12,12,,,,0,111,4,1,7.95,0,0.04
29-Mar-20,Islamabad,"1,200",,"1,200",51,4.25,,8,51,,,0,,0,0,40,,,,13,10,,,,3,35,3,0,32.5,0,0.09
29-Mar-20,KP,664,,664,195,29.37,,7,195,,,0,,0,0,"3,046",,,,60,58,,,,2,128,2,5,1.97,0,0.02
29-Mar-20,Punjab,"2,220",,"2,220",593,26.71,,35,593,,,0,,0,0,"1,592",,,,253,253,,,,0,329,5,6,15.89,0,0.02
29-Mar-20,Sindh,"5,945",,"5,945",508,8.54,,27,508,,,0,,0,0,505,,,,306,301,,,,5,181,16,5,60.59,0,0.09
30-Mar-20,AJK,177,,177,6,3.39,,0,6,,,0,,0,0,210,,,,6,6,,,,0,0,0,0,2.86,0,0
30-Mar-20,Balochistan,"1,792",,"1,792",153,8.54,,9,153,,,0,,0,0,791,,,,139,139,,,,0,11,2,1,17.57,0,0.18
30-Mar-20,Gilgit Baltistan,519,,519,148,28.52,,20,148,,,0,,0,0,151,,,,12,12,,,,0,130,4,2,7.95,0,0.03
30-Mar-20,Islamabad,"1,395",,"1,395",58,4.16,,7,58,,,0,,0,0,40,,,,16,13,,,,3,39,3,0,40,0,0.08
30-Mar-20,KP,"1,512",,"1,512",221,14.62,,26,221,,,0,,0,0,"3,046",,,,70,68,,,,2,143,2,6,2.3,0,0.01
30-Mar-20,Punjab,"2,500",,"2,500",652,26.08,,59,652,,,0,,0,0,"1,592",,,,303,301,,,,2,335,5,9,19.03,0,0.01
30-Mar-20,Sindh,"6,328",,"6,328",627,9.91,,119,627,,,0,,0,0,505,,,,315,310,,,,5,263,42,7,62.38,0,0.16
31-Mar-20,AJK,239,,239,6,2.51,,0,6,,,0,,0,0,210,,,,6,6,,,,0,0,0,0,2.86,0,0
31-Mar-20,Balochistan,"1,934",,"1,934",158,8.17,,5,158,,,0,,0,0,791,,,,124,124,,,,0,16,17,1,15.68,0,1.06
31-Mar-20,Gilgit Baltistan,750,,750,184,24.53,,36,184,,,0,,0,0,151,,,,12,12,,,,0,166,4,2,7.95,0,0.02
31-Mar-20,Islamabad,"1,703",,"1,703",54,3.17,,0,54,,,0,,0,0,40,,,,16,13,,,,3,35,3,0,40,0,0.09
31-Mar-20,KP,"1,271",,"1,271",253,19.91,,32,253,,,0,,0,0,"3,046",,,,74,72,,,,2,171,2,6,2.43,0,0.01
31-Mar-20,Punjab,"2,720",,"2,720",708,26.03,,56,708,,,0,,0,0,"1,592",,,,357,356,,,,1,337,5,9,22.42,0,0.01
31-Mar-20,Sindh,"6,578",,"6,578",676,10.28,,49,676,,,0,,0,0,505,,,,385,381,,,,4,232,51,8,76.24,0,0.22
1-Apr-20,AJK,252,,252,9,3.57,,3,9,,,0,,0,0,210,,,,9,9,,,,0,0,0,0,4.29,0,0
1-Apr-20,Balochistan,"2,049",,"2,049",169,8.25,,11,169,,,0,,0,0,791,,,,125,125,,,,0,26,17,1,15.8,0,0.65
1-Apr-20,Gilgit Baltistan,797,,797,187,23.46,,3,187,,,0,,0,0,151,,,,12,12,,,,0,169,4,2,7.95,0,0.02
1-Apr-20,Islamabad,"2,650",,"2,650",62,2.34,,8,62,,,0,,0,0,40,,,,15,13,,,,2,44,3,0,37.5,0,0.07
1-Apr-20,KP,"1,835",,"1,835",276,15.04,,23,276,,,0,,0,0,"3,046",,,,84,82,,,,2,165,19,8,2.76,0,0.12
1-Apr-20,Punjab,"10,104",,"10,104",845,8.36,,137,845,,,0,,0,0,"1,592",,,,384,383,,,,1,444,6,11,24.12,0,0.01
1-Apr-20,Sindh,"7,535",,"7,535",743,9.86,,67,743,,,0,,0,0,505,,,,387,383,,,,4,289,58,9,76.63,0,0.2
2-Apr-20,AJK,322,,322,9,2.8,,0,9,,,0,,0,0,210,,,,9,9,,,,0,0,0,0,4.29,0,0
2-Apr-20,Balochistan,"2,171",,"2,171",169,7.78,,0,169,,,0,,0,0,791,,,,125,125,,,,0,26,17,1,15.8,0,0.65
2-Apr-20,Gilgit Baltistan,844,,844,190,22.51,,3,190,,,0,,0,0,151,,,,12,12,,,,0,170,5,3,7.95,0,0.03
2-Apr-20,Islamabad,"2,395",,"2,395",68,2.84,,6,68,,,0,,0,0,40,,,,18,16,,,,2,47,3,0,45,0,0.06
2-Apr-20,KP,"1,938",,"1,938",311,16.05,,37,311,,,0,,0,0,"3,046",,,,92,90,,,,2,180,30,9,3.02,0,0.17
2-Apr-20,Punjab,"15,134",,"15,134",920,6.08,,75,920,,,0,,0,0,"1,592",,,,456,455,,,,1,447,6,11,28.64,0,0.01
2-Apr-20,Sindh,"7,504",,"7,504",783,10.43,,40,783,,,0,,0,0,505,,,,410,405,,,,5,297,65,11,81.19,0,0.22
3-Apr-20,AJK,343,,343,11,3.21,,2,11,,,0,,0,0,262,,,,11,11,,,,0,0,0,0,4.2,0,0
